TF_gene,tissue_brain,TF_transcript_id_brain,target_gene_brain,target_transcript_id_brain,importance_brain,brain_percentage,brain_opposite_percentage,tissue_kidney,TF_transcript_id_kidney,target_gene_kidney,target_transcript_id_kidney,importance_kidney,kidney_percentage,kidney_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
MRPS33,brain,MRPS33-202,CREBL2,CREBL2-201,4.938656269436394,0.0,0.0,kidney,0,RNF14,RNF14-203,5.041314810825445,0.3502539734556776,0.6497460265443225,-5.99672995916854,Downregulated,False
KIF1C,brain,KIF1C-201,TCFL5,TCFL5-201,4.937028067099459,0.0,0.0,kidney,0,ZNF263,ZNF263-201,6.198368121188384,0.41515246897683156,0.5848475310231684,-2.0160667375374,Downregulated,False
SPRYD3,brain,SPRYD3-201,MEIS3,MEIS3-204,4.933067639052948,0.0,0.0,kidney,0,RNF14,RNF14-203,7.865236065914674,0.3502539734556776,0.6497460265443225,-1.65141069251873,Downregulated,False
KIF4A,brain,0,FOXJ1,FOXJ1-201,4.932227369759591,0.0,0.0,kidney,0,E2F2,E2F2-201,4.428920942111237,0.0,0.0,0.0,0,False
NUP93,brain,0,GTF2F1,GTF2F1-201,4.923679119962932,0.0,0.0,kidney,0,NFYA,NFYA-201,4.483306272696869,0.32140179436418004,0.67859820563582,0.0,0,False
MRPL12,brain,0,DRAP1,DRAP1-201,4.919173837285856,0.0,0.0,kidney,0,RNF14,RNF14-203,5.347529771452523,0.3502539734556776,0.6497460265443225,0.0,0,False
GTF3C6,brain,0,PARK7,PARK7-201,4.917753928993126,0.0,0.0,kidney,0,RNF14,RNF14-203,5.694989344073531,0.3502539734556776,0.6497460265443225,0.0,0,False
AAMP,brain,0,GTF2F1,GTF2F1-201,4.91391005000615,0.0,0.0,kidney,0,NFYA,NFYA-201,4.471055077847238,0.32140179436418004,0.67859820563582,0.0,0,False
UBR5,brain,UBR5-204,MBD1,MBD1-224,4.9017585787460005,0.0,0.0,kidney,0,CREBBP,CREBBP-201,5.55467614861407,0.4415698760249729,0.5584301239750271,-4.86265334438397,Downregulated,False
RAB3D,brain,RAB3D-201,SRF,SRF-201,4.895291272861929,0.0,0.0,kidney,0,CREBBP,CREBBP-201,5.497847461584345,0.4415698760249729,0.5584301239750271,-4.22942566907734,Downregulated,False
HIPK1,brain,HIPK1-202,PBRM1,PBRM1-203,4.890403687424645,0.0,0.0,kidney,0,NFIX,NFIX-202,4.543140521802679,0.10337512054001928,0.8966248794599807,-5.57782170950386,Downregulated,False
PKIA,brain,0,CNOT7,CNOT7-201,4.888565775913003,0.0,0.0,kidney,0,GTF2IRD1,GTF2IRD1-202,4.480659918701244,0.6566044155451385,0.3433955844548615,-4.72165455285097,Downregulated,False
CHD9,brain,0,PBRM1,PBRM1-203,4.888498613829348,0.0,0.0,kidney,0,NFIX,NFIX-202,4.871916963187822,0.10337512054001928,0.8966248794599807,0.0,0,False
CINP,brain,CINP-201,PHF5A,PHF5A-201,4.888139245544417,0.0,0.0,kidney,0,RNF14,RNF14-203,4.911493470467953,0.3502539734556776,0.6497460265443225,-6.17844293167327,Downregulated,False
TXN,brain,TXN-202,GTF2B,GTF2B-201,4.883301716130798,0.0,0.0,kidney,0,RNF14,RNF14-203,4.558935710169337,0.3502539734556776,0.6497460265443225,-9.40518215501436,Downregulated,False
EXOC4,brain,EXOC4-201,TERF2,TERF2-201,4.881929435018278,0.0,0.0,kidney,0,NFIX,NFIX-202,6.418025557053432,0.10337512054001928,0.8966248794599807,-5.72073035182145,Downregulated,False
MATR3,brain,0,EID1,EID1-201,4.879586987228944,0.0,0.0,kidney,MATR3-211,NFYA,NFYA-201,6.004498607999189,0.32140179436418004,0.67859820563582,-1.73386676065321,Downregulated,False
HDHD3,brain,HDHD3-202,TRIM8,TRIM8-201,4.879005103773511,0.0,0.0,kidney,0,MLXIPL,MLXIPL-201,6.152840314967727,0.0,0.0,2.1227858466402,Upregulated,False
DPF2,brain,DPF2-201,PHF20,PHF20-203,4.878671002372475,0.0,0.0,kidney,0,CREBBP,CREBBP-201,5.623617855536618,0.4415698760249729,0.5584301239750271,-5.55515583344305,Downregulated,False
TBKBP1,brain,TBKBP1-203,CC2D1A,CC2D1A-201,4.877979399874547,0.0,0.0,kidney,0,NFIX,NFIX-202,4.544403106770425,0.10337512054001928,0.8966248794599807,-3.73896376623766,Downregulated,False
ALG12,brain,ALG12-201,NSD1,NSD1-202,4.86647259065306,0.0,0.0,kidney,0,CREBBP,CREBBP-201,5.083166276689467,0.4415698760249729,0.5584301239750271,-3.10861753321996,Downregulated,False
